name	Zaji_Player
	frame	data/chars/zaji/26.png
		
anim	runattack
	range	0	80
	loop	0
	offset	36 55
	delay	7
	move	4
	frame	data/chars/zaji/67.png
	offset	36 62
	frame	data/chars/zaji/63.png
	delay	5
	frame	data/chars/zaji/63.png
	delay	3
	frame	data/chars/zaji/63.png
	offset	26 61
	delay	7
	move	0
	attack10	20 -1 26 62 15 0 1 1 20 0
	frame	data/chars/zaji/65.png
	Attack1	0
	frame	data/chars/zaji/65.png
	offset	17 60
	attack10	17 -2 51 64 20 1 0 0 20 0
	frame	data/chars/zaji/66.png
	offset	25 62
	Attack1	0
	frame	data/chars/zaji/64.png
	offset	36 62
	frame	data/chars/zaji/63.png
		
anim	throw
	loop	0
	offset	18 63
	delay	7
	frame	data/chars/zaji/119.png
	offset	19 71
	frame	data/chars/zaji/117.png
	offset	34 68
	frame	data/chars/zaji/118.png
	offset	41 51
	frame	data/chars/zaji/124.png
	offset	36 51
	frame	data/chars/zaji/125.png
		
anim	waiting
	loop	1
	offset	22 53
	bbox	1 1 44 51
	delay	7
	frame	data/chars/zaji/8.png
	frame	data/chars/zaji/9.png
		
anim	walk
	loop	1
	offset	16 64
	delay	15
	frame	data/chars/zaji/18.png
	offset	10 66
	frame	data/chars/zaji/17.png
	offset	14 64
	sound	data/sounds/walk.wav
	frame	data/chars/zaji/19.png
	offset	17 65
	frame	data/chars/zaji/16.png
	delay	15
	offset	9 65
	frame	data/chars/zaji/15.png
	offset	10 65
	frame	data/chars/zaji/20.png
		
#|edited by openBor Stats v 0.67
		
