name	Ninja_Kunoichi
	frame	data/chars/ninja_kunoichi/29.png
	move	0
	Attack1	0
	frame	data/chars/ninja_kunoichi/29.png
	Attack1	1
	frame	data/chars/ninja_kunoichi/29.png
	Attack1	0
	frame	data/chars/ninja_kunoichi/29.png
	Attack1	1
	frame	data/chars/ninja_kunoichi/29.png
	offset	20 57
	Attack1	0
	sound	data/sounds/fhurt1.wav
	frame	data/chars/ninja_kunoichi/30.png
	offset	21 32
	delay	40
	frame	data/chars/ninja_kunoichi/31.png
		
anim	throw
	loop	0
	flipframe	1
	offset	20 50
	delay	15
	sound	data/sounds/fattack51.wav
	frame	data/chars/ninja_kunoichi/17.png
	frame	data/chars/ninja_kunoichi/17.png
		
anim	walk
	loop	1
	offset	27 36
	delay	7
	bbox	3 -1 41 51
	frame	data/chars/ninja_kunoichi/3.png
	offset	27 35
	frame	data/chars/ninja_kunoichi/4.png
		
#|edited by openBor Stats v 0.67
		
